artists,album_name,track_name,track_genre
Periphery,Periphery III: Select Difficulty,Absolomb,metalcore
Sleeping With Sirens,Complete Collapse,Complete Collapse,metalcore
Killswitch Engage,As Daylight Dies (Special Edition),The Arms of Sorrow,metalcore
I Prevail,TRUE POWER,The Negative,metalcore
I Prevail,TRUE POWER,Judgement Day,metalcore
Wage War,Pressure,Me Against Myself,metalcore
Ice Nine Kills,Hunting Season,Hunting Season,metalcore
Lamb of God,As The Palaces Burn,Vigil,metalcore
A Day To Remember,Homesick,Have Faith In Me,metalcore
Wage War,Manic,Death Roll,metalcore
Northlane,Alien,Bloodline,metalcore
As I Lay Dying,An Ocean Between Us,Nothing Left,metalcore
Dance Gavin Dance,Three Wishes,Three Wishes,metalcore
Spiritbox;Sam Carter,Eternal Blue,Yellowjacket (feat. Sam Carter),metalcore
Asking Alexandria;Grace Grundy,Like A House On Fire,I Don't Need You,metalcore
Underoath,They're Only Chasing Safety,A Boy Brushed Red Living In Black And White,metalcore
Ice Nine Kills,Welcome To Horrorwood: The Silver Scream 2,The Shower Scene,metalcore
The Amity Affliction,Glory Days,Straight Up!,metalcore
Wage War,Blueprints (Anniversary Edition),Alive,metalcore
Every Time I Die,The Big Dirty,Leatherneck,metalcore
Gideon,Out of Control,out of control,metalcore
Upon A Burning Body,The World Is My Enemy Now,Pledge Your Allegiance,metalcore
Fire From The Gods,American Sun,Right Now,metalcore
Callejon,Blitzkreuz,Blitzkreuz,metalcore
Ice Nine Kills,I Heard They KILL Live,"Rocking The Boat - Live in Worcester, MA / November 2019",metalcore
Callejon,Wir sind Angst,Dunkelherz,metalcore
The Black Dahlia Murder,Deflorate,Throne of Lunacy,metalcore
For Today,Breaker,King,metalcore
A Day To Remember,For Those Who Have Heart,"The Plot To Bomb The Panhandle - Live At The Capitol / Ocala, FL / January 5, 2008",metalcore
Protest The Hero,Palimpsest,Little Snakes,metalcore
For Today,Portraits,Ezekiel (The Visionary),metalcore
Straight Line Stitch,When Skies Wash Ashore,Taste Of Ashes,metalcore
