artists,album_name,track_name,track_genre
Blutengel,Monument (Deluxe Edition),Uns gehört die Nacht,industrial
Helmet,Strap It On,Make Room,industrial
Samael,Passage,The Ones Who Came Before,industrial
Murderdolls,Women And Children Last,Nowhere,industrial
Killing Joke,Hosannas from the Basements of Hell,Invocation,industrial
Static-X,Cannibal,Team Hate,industrial
HELLYEAH,UNDEN!ABLE (Deluxe 2.0),I Don't Care Anymore,industrial
White Zombie,"Astro Creep: 2000 Songs Of Love, Destruction And Other Synthetic Delusions Of The Electric Head",Grease Paint And Monkey Brains,industrial
clipping.,Visions of Bodies Being Burned,Say the Name,industrial
JPEGMAFIA,LP!,THOT'S PRAYER!,industrial
Type O Negative,Life Is Killing Me,Anesthesia,industrial
Marilyn Manson,Antichrist Superstar,Angel With The Scabbed Wings,industrial
Cold,Year Of The Spider,Gone Away (A Song For Starr),industrial
Dive,Where Do We Go from Here,Inside Your Head,industrial
Dope,Fuck It Up,Fuck It Up,industrial
Mindless Self Indulgence,How I Learned to Stop Giving a Shit and Love Mindless Self Indulgence,Fuck Machine,industrial
The Birthday Massacre,Nothing And Nowhere,Over,industrial
Ludovico Technique,Live as Myself,Live as Myself,industrial
Cold,Superfiction,The Break,industrial
Cold,Year Of The Spider,Stupid Girl,industrial
Otep,Atavist (Deluxe Version),"I, Alone",industrial
Flesh Field,Dependence,Voice of Dissent,industrial
Area 11,Modern Synthesis,Override [C],industrial
Deathstars,The Perfect Cult,Bodies,industrial
Skindred,Shark Bites and Dog Fights,You Can't Stop It,industrial
Youth Code;King Yosef,A Skeleton Key in the Doors of Depression,Claw / Crawl,industrial
