artists,album_name,track_name,track_genre
Pink Turns Blue,Not Even Trying,Not Even Trying,goth
Håkan Hellström,"Nåt gammalt, nåt nytt, nåt lånat, nåt blått",Augusti i helvetet,goth
Håkan Hellström,Det är så jag säger det,Mississippi kan vänta,goth
Epica,Live At Paradiso,The Phantom Agony - Live At Paradiso,goth
Anabantha,"Letanías, Capítulo 3",Necromancia,goth
Håkan Hellström,PS. lycka till i kväll,Mitt Gullbergs kaj paradis,goth
Jonas Lundqvist,Vissa nätter,Vissa nätter,goth
The Cramps,Smell of Female,Psychotic Reaction,goth
Håkan Hellström,Det är så jag säger det,Gråsparven när hon sjunger,goth
Håkan Hellström,För sent för Edelweiss,Inte skyldig nån nåt,goth
Honky Tonk Hustlas,South of Nashville,Never Gonna Quit,goth
New Model Army,No Rest For The Wicked,Better Than Them,goth
Christian Death;R.Williams,Catastrophe Ballet (feat. R. Williams),The Drowning (feat. R. Williams),goth
Little Dragon;JID,Opening The Door,Stay,goth
Lake Of Tears,Forever Autumn,To Blossom Blue,goth
Parham;Mwuana,Tranquilo,Tranquilo,goth
Anathema,The Optimist,Springfield,goth
Arvid Lundquist,Vi vann till slut,Vi vann till slut,goth
Lacuna Coil,Swamped XX,Swamped XX,goth
Lani Mo,Låt oss leva,PARA,goth
Petrus,Keeper,Keeper,goth
Terra ,Jävla EP:n,Tack Och Förlåt,goth
Petrus,Emily,Emily,goth
Brother Dege,Quentin Tarantino’s Django Unchained Original Motion Picture Soundtrack,Too Old To Die Young,goth
Lani Mo,Tvär tamam,Tvär tamam,goth
Lacrimosa,Leidenschaft,Exodus,goth
Within Temptation,Don't Pray For Me,Don't Pray For Me,goth
Aesma Daeva,Dawn of the New Athens,D'Oreste D'Adjace,goth
Ivory,Molnfällan,AvEnsjuka,goth
Strawberry Switchblade,1982 4 Piece Demo,Trees and Flowers,goth
HammerFall,Crimson Thunder,Dreams Come True,goth
Within Temptation;Keith Caputo,The Heart Of Everything,What Have You Done (feat. Keith Caputo),goth
Roffe Ruff,Och han älskade dom alla,Krokodiltårar,goth
Broder Daniel,Broder Daniel Forever,Happy People Never Fantasize,goth
Nightwish,Over The Hills And Far Away,Over The Hills And Far Away,goth
Jayke Orvis,Its All Been Said,Feelings Like This,goth
obnoXIuz,Mellan Gott & Ont,Knack Knack,goth
Håkan Hellström,Rampljus,Rampljus,goth
Cradle Of Filth,From The Cradle To Enslave,From the Cradle to Enslave,goth
