artists,album_name,track_name,track_genre
Mithoon;Arijit Singh;Neeti Mohan;Karan Malhotra,Shamshera,Fitoor,pop
Sidhu Moose Wala;Sunny Malton;The Kidd,Levels,Levels,pop
Akhil Sachdeva;Mansheel Gujral,"Channa Ve (From ""Bhoot - Part One: The Haunted Ship"")",Channa Ve,pop
Madhur Sharma,Kali Kali Zulfon Ke (Lo-Fi),Kali Kali Zulfon Ke (Lo-Fi),pop
Santhosh Narayanan;Anirudh Ravichander,"Thenmozhi (From ""Thiruchitrambalam"")","Thenmozhi (From ""Thiruchitrambalam"")",pop
Arijit Singh;Rupali Moghe,Badhaai Do (Original Motion Picture Soundtrack),Atak Gaya - Arijit Singh,pop
Tanishk Bagchi;Jubin Nautiyal;Asees Kaur,"Raataan Lambiyan (From ""Shershaah"")","Raataan Lambiyan (From ""Shershaah"")",pop
Sia,This Is Acting,Unstoppable,pop
Dhanush;Anirudh Ravichander,"Mayakkama Kalakkama (From ""Thiruchitrambalam"")","Mayakkama Kalakkama (From ""Thiruchitrambalam"")",pop
Jasleen Royal;B Praak;Romy;Anvita Dutt,"Ranjha (From ""Shershaah"")","Ranjha (From ""Shershaah"")",pop
Dhibu Ninan Thomas;Kapil Kapilan,"Adiye (From ""Bachelor"")","Adiye - From ""Bachelor""",pop
BLACKPINK,BORN PINK,Shut Down,pop
Yasser Desai;Neha Kakkar;Rajat Nagpal,"Dil Ko Karaar Aaya (From ""Sukoon"")","Dil Ko Karaar Aaya (From ""Sukoon"")",pop
Dhanush;Anirudh Ravichander,"Megham Karukatha (From ""Thiruchitrambalam"")","Megham Karukatha (From ""Thiruchitrambalam"")",pop
Dhanush;Anirudh Ravichander,"Thaai Kelavi (From ""Thiruchitrambalam"")","Thaai Kelavi (From ""Thiruchitrambalam"")",pop
A.R. Rahman;A. R. Reihana;Bamba Bakya,"Ponni Nadhi (From ""Ponniyin Selvan Part -1"") [Original Motion Picture Soundtrack]","Ponni Nadhi (From ""Ponniyin Selvan Part -1"") - Tamil",pop
Vishal Chandrashekhar;S.P. Charan,"Inthandham [From ""Sita Ramam (Telugu)""]","Inthandham (From ""Sita Ramam (Telugu)"")",pop
A.R. Rahman;Madhushree,Vendhu Thanindhathu Kaadu (Original Motion Picture Soundtrack),Mallipoo,pop
Stephen Sanchez,Until I Found You,Until I Found You,pop
Sam Smith;Kim Petras,Unholy (feat. Kim Petras),Unholy (feat. Kim Petras),pop
Harry Styles,As It Was,As It Was,pop
Billie Eilish;Khalid,lovely (with Khalid),lovely (with Khalid),pop
The Kid LAROI;Justin Bieber,STAY (with Justin Bieber),STAY (with Justin Bieber),pop
Maninder Buttar,Sakhiyaan,Sakhiyaan,pop
Akhil,Khaab,Khaab,pop
Jaymes Young,Feel Something,Infinity,pop
OAFF;Savera;Lothika;Kausar Munir,"Doobey (From ""Gehraiyaan"")","Doobey (From ""Gehraiyaan"")",pop
Ruth B.;slater,Dandelions (slowed + reverb),Dandelions - slowed + reverb,pop
DJ Snake;Justin Bieber,Encore,Let Me Love You,pop
The Chainsmokers;Halsey,Closer,Closer,pop
The PropheC,The Lifestyle,Kina Chir,pop
Asim Azhar,Jo Tu Na Mila,Jo Tu Na Mila,pop
Calvin Harris;Dua Lipa,One Kiss (with Dua Lipa),One Kiss (with Dua Lipa),pop
Akhil;Dhvani Bhanushali;Abhijit Vaghani;Bob,"Duniyaa (From ""Luka Chuppi"")","Duniyaa (From ""Luka Chuppi"")",pop
Atif Aslam;Pritam,Ajab Prem Ki Ghazab Kahani (Original Motion Picture Soundtrack),Tu Jaane Na,pop
