artists,album_name,track_name,track_genre
Yxngxr1,hello hello!,hello hello!,chill
Fern.,Want U Bad,Want U Bad,chill
Nbdy,Tunnel Vision,Missing Sumthin',chill
Stapes,Wintree,Wintree,chill
Aether,Viraha,Catharsis,chill
Finding Hope,yellow lights,yellow lights,chill
Knowmadic,Course,Course,chill
Vluestar,Weed Wit U,Weed Wit U,chill
Jazzinuf;Etymology Records,Soul Mates,Soul Mates,chill
Pink Sweat$,17 (Acoustic),17 - Acoustic,chill
Kid Travis,Nobody,Nobody,chill
Kayou.,Stars,Stars,chill
Janine,Best Thing,Best Thing,chill
Yxngxr1,BOY IN BLUE,BOY IN BLUE,chill
MASN,Adrenaline,Adrenaline,chill
Hoody;GRAY,Departure,Adios,chill
Zmeyev;Screen Jazzmaster,Distant Stars,Distant Stars,chill
Seon;Kado,Float,Float,chill
Mishaal,Life's a Ride,Mister Mister,chill
Jinsang,Meditation - EP,Egyptian Pools,chill
Ronzo;COMFY,Left Back (Remix),Left Back - Remix,chill
keshi;K-391,trilogy remixes,skeletons - K-391 Remix,chill
Holem;Shiloh Dynasty,In My Feelings,Sex for Breakfast,chill
Skinny Atlas;Snøw;Jomie;Thomas Reid,Meant to Be,Meant to Be,chill
French The Kid,Never Been Ordinary,Thrill,chill
Mokita,Color Me In,Color Me In,chill
Yusei,Beyond Your Imagination,Miss You Too,chill
Kid Travis,Somebody You Loved,Somebody You Loved,chill
Yusei,Beyond Your Imagination,Romance in Tokyo,chill
Yusei,Beyond Your Imagination,Something Like a Love Song,chill
untrusted;creamy;11:11 Music Group,sweater weather / i wanna be your girlfriend,sweater weather / i wanna be your girlfriend,chill
Chris James,The Art of Overthinking,Don't Forget About Me,chill
Jeff Bernat;Geologic Of The Blue Scholars,The Gentleman Approach,Call You Mine (feat. Geologic Of The Blue Scholars),chill
Yusei,Beyond Your Imagination,Evening in Shinjuku,chill
DaniSogen,The Gate to Serenity,The Old Legend,chill
Tiana Major9,Autumn Girl,...Exclusively,chill
LARINHX;Ikinya;MangoLab;Ebony,EU GOSTO DE GAROTAS,CAMISA 10,chill
GEMINI,Going,Going,chill
LAKEY INSPIRED,Chill Day,Chill Day,chill
Sainte;Miraa May,Out the Blue,No Love,chill
Verzache,My Head is a Moshpit,All I Need,chill
Justine Skye;Tyga,Collide (feat. Tyga),Collide (feat. Tyga),chill
thuy;RINI,trust (feat. RINI),trust (feat. RINI),chill
Fiji Blue,Wait!,Wait!,chill
Colette Lush,Seven-One,Don't,chill
SHRK;Shiloh Dynasty,Sad Hours,Sad Life,chill
demxntia;Laeland;Eric Godlow,somehow,i don't mind,chill
