artists,album_name,track_name,track_genre
Arno,Opex,I Can't Dance,blues
J.J. Cale,Naturally,After Midnight,blues
ZZ Top,The ZZ Top Sixpack,Tube Snake Boogie,blues
Louise Hoffsten;Albin Lee Meldau,Från himmelen fallen,Från himmelen fallen,blues
Bernard Adamus,Brun,Brun - La couleur de l'amour,blues
Tucka,Long Live the King,Til the Sun Comes Up,blues
Slank,Kampungan,Terlalu Manis - Jualan Version,blues
Blind Faith,Biomutant Martial Combat The Ultimate Fantasy Playlist,Battle of Evermore,blues
Sir Charles Jones,The Best of Sir Charles Jones - For Your Love,Friday,blues
Blind Faith,Overwatch 2 The Ultimate Fantasy Playlist,Battle of Evermore,blues
Blind Faith,Dune 2 - The Complete Fantasy Playlist,Battle of Evermore,blues
Blind Faith,Synchronic The Ultimate Fantasy Playlist,Battle of Evermore,blues
Memphis La Blusera,"Cosa de Hombres, Vol. 1",Cosa de Hombres,blues
Blind Faith,Necromunda Hired Gun The Ultimate Fantasy Playlist,Battle of Evermore,blues
Blind Faith,Apex - The Complete Fantasy Playlist,Battle of Evermore,blues
Blind Faith,The Witcher A New Saga Begins The Ultimate Fantasy Playlist,Battle of Evermore,blues
Blind Faith,Moonscars The Ultimate Fantasy Playlist,Battle of Evermore,blues
Santana,Ultimate Santana,Black Magic Woman,blues
Blues Delight,Rock Island Line,Slightly Hung Over,blues
Queens of the Stone Age,Era Vulgaris,Make It Wit Chu,blues
Nazareth,Sound Elixir,Where Are You Now,blues
Raphael Lake,Disco Pop,Another Wave,blues
Dallas Stars,The Rising,The Rising,blues
10cc,The Original Soundtrack,I'm Not In Love,blues
Steve Miller Band,The Joker,The Joker,blues
Sam Tinnesz,Ready Set Let's Go,Ready Set Let's Go,blues
Ella Fitzgerald;Louis Armstrong,Ella And Louis Again,Autumn In New York,blues
Cage The Elephant,Tell Me I'm Pretty,Too Late To Say Goodbye,blues
Dan Auerbach,Waiting on a Song,Never in My Wildest Dreams,blues
8 Graves,Black,Bury Me Low,blues
Greta Van Fleet,The Battle at Garden’s Gate,Light My Love,blues
City Wolf,City Wolf,Protector,blues
Richi Ray,ON T O P,ON T O P,blues
Stevie Ray Vaughan,Couldn't Stand The Weather (Legacy Edition),Little Wing,blues
Procol Harum,Hits'n'Flips,A Whiter Shade of Pale - Original Single Version,blues
Eduardo Tejedo;Héctor Lama;Alan Piz Morán,El Rey Leon (Edición Especial),El Reporte De Hoy,blues
J.J. Cale,Naturally,Call The Doctor,blues
Greta Van Fleet,The Battle at Garden’s Gate,Heat Above,blues
Eric Clapton,Slowhand 35th Anniversary,Wonderful Tonight,blues
John Lee Hooker,Urban Blues (Expanded Edition),Boom Boom,blues
Nina Simone,Pastel Blues,Sinnerman,blues
Johnnie Taylor,Good Love!,Too Many Memories,blues
Lacee,Soulful,Move Something,blues
Jesper Munk,Head In The Clouds,Head In The Clouds,blues
Allman Brothers Band,Idlewild South (Deluxe Edition Remastered),Midnight Rider,blues
Ray Charles,"Modern Sounds in Country and Western Music, Vols 1 & 2",I Can't Stop Loving You,blues
